"Zaman damgası","  Bu risk skoruna dayanarak finansal bir karar verir miydiniz?  ","Açıklamayı ne kadar yeterli buldunuz?","Sizce bu müşteri hangi risk grubundadır?","  Modelin verdiği risk skoruna ne kadar güveniyorsunuz?  ","Bu risk skorunun neden oluştuğunu anladınız mı?"
"2026/04/23 8:44:52 ÖS GMT+3","Evet","5 → Çok iyi","MEDIUM","4","Evet"
"2026/04/23 8:45:43 ÖS GMT+3","Emin Değilim","4","MEDIUM","3","Kısmen"
"2026/04/23 8:46:28 ÖS GMT+3","Hayır","3","HIGH","2","Kısmen"
"2026/04/23 8:47:11 ÖS GMT+3","Emin Değilim","2","LOW","2","Hayır"
"2026/04/23 8:47:59 ÖS GMT+3","Evet","4","MEDIUM","4","Evet"
